x,y,id
40.0,36.0,landscape_scarce_glance_1145
35.0,11.0,still_life_self_mov_dilate_act_unless_imp_1146
56.0,64.0,landscape_turbulence_passion_animosity_9342
43.0,11.0,landscape_prince_nations_keeps_shall_nev_1151
26.0,42.0,portrait_eye_eye_1152
74.0,61.0,portrait_fiery_kind_9345
47.0,79.0,landscape_seed_sown_manuring_sown_trees__1166
38.0,10.0,still_life_law_write_1168
46.0,6.0,landscape_intuitive_discourse_1172
56.0,53.0,landscape_feed_voluntary_harmonious_volu_1175
46.0,43.0,portrait_forge_illusions_list_1176
71.0,61.0,still_life_flame_9369
29.0,35.0,portrait_blank_character_presents_9373
14.0,54.0,still_life_painting_painted_picture_1183
56.0,48.0,landscape_pupil_impulse_heart_forced_coa_9384
20.0,48.0,still_life_reflects_faithful_images_manne_9386
18.0,23.0,landscape_goodly_look_pure_impression_1198
56.0,31.0,portrait_drawn_beastly_body_1201
29.0,74.0,still_life_confused_chaos_conceptions_uns_9393
24.0,42.0,still_life_object_eye_1203
37.0,71.0,landscape_ballast_part_influence_part_ou_1206
56.0,49.0,portrait_rational_soul_one_conjoyned_ac_1212
29.0,47.0,still_life_things_eye_9406
32.0,27.0,portrait_human_novelty_infant_conceptio_9407
67.0,65.0,portrait_fiery_part_light_derived_fiery_1218
23.0,33.0,portrait_man_president_th_acts_facultie_1219
40.0,65.0,landscape_like_roads_journey_9417
43.0,61.0,landscape_deep_shade_colouring_faint_9421
40.0,63.0,landscape_imagination_deviates_paths_lea_9433
71.0,54.0,still_life_fills_conceptions_sets_fire_pu_9437
28.0,34.0,landscape_settle_left_settle_image_1250
38.0,42.0,landscape_sick_much_diseased_9446
14.0,32.0,landscape_ideas_work_impressions_fix_upo_9449
74.0,63.0,still_life_balm_relief_9455
25.0,48.0,still_life_mirror_undeceiving_glass_refle_1270
68.0,67.0,still_life_lamp_lamp_1271
20.0,67.0,still_life_collections_laid_9467
58.0,52.0,still_life_birds_aspiring_nests_nests_bui_1275
81.0,53.0,portrait_diamond_gold_lustre_1279
70.0,57.0,landscape_flame_9472
48.0,28.0,landscape_want_fewel_extinguished_9475
45.0,35.0,still_life_lies_crowds_1283
17.0,63.0,landscape_maintain_granaries_plentiful_s_9485
16.0,27.0,still_life_take_impression_take_white_pap_1294
70.0,22.0,still_life__9500
16.0,54.0,landscape_paint_imagination_ornamental_k_9501
48.0,53.0,landscape_makes_far_soars_leaps_away_run_1310
42.0,61.0,still_life_blend_tints_contrast_colors_9504
86.0,48.0,landscape_base_alloy_refin_1321
77.0,45.0,landscape_loadstone_hadst_make_iron_hear_1325
77.0,41.0,landscape_heart_steel_1328
44.0,34.0,still_life_man_hall_1343
52.0,42.0,still_life_drossy_soil_1348
29.0,34.0,still_life_minds_impressed_9543
27.0,17.0,still_life_account_fine_poetical_strong_i_9546
70.0,50.0,landscape_ray_1359
18.0,31.0,still_life_representations_effect_impress_9551
56.0,10.0,still_life_senses_pulleth_ns_pow_rightful_1365
43.0,46.0,landscape_nearly_become_9559
39.0,7.0,landscape_phenomena_nature_depend_upon_g_9563
56.0,42.0,still_life_soul_sup_1373
71.0,34.0,landscape_cannot_chordage_chain_sweet_ca_1374
46.0,71.0,landscape_fresh_meadows_fresh_meadows_1378
68.0,61.0,landscape_fancy_glow_sacred_fire_airs_th_9575
34.0,54.0,still_life_furniture_picture_1384
79.0,28.0,still_life_soul_tyrannic_soul_bonds_1387
70.0,17.0,landscape_conquest_1389
34.0,55.0,landscape_flimsy_furniture_9583
81.0,39.0,still_life_steel_9592
78.0,48.0,still_life_steel_stoic_ring_charms_wou_me_9593
58.0,53.0,landscape_airy_wilds_9595
61.0,66.0,landscape_nightly_tapers_disappear_brigh_1410
68.0,8.0,portrait_absolute_9606
59.0,52.0,landscape_dove_brood_dove_brood_9617
38.0,56.0,still_life_set_workings_recesses_theatre__9619
64.0,16.0,still_life_civil_war_within_one_govern_ki_1430
68.0,21.0,portrait_hearts_1440
53.0,33.0,still_life_turrit_treasures_memory_wit_1447
54.0,32.0,still_life_precious_relics_defacement_pre_1454
55.0,75.0,portrait_opening_rose_shou_9648
53.0,35.0,portrait_treasures_concealed_tenderest__9649
47.0,70.0,still_life_posting_sink_9656
23.0,26.0,landscape_made_impression_beheld_much_be_9658
17.0,31.0,landscape_indelible_impressions_9659
25.0,49.0,portrait_reflections_stamp_1469
15.0,29.0,landscape_softned_impressions_heart_fire_1472
66.0,7.0,landscape_empire_9669
56.0,21.0,still_life_ruling_passion_9670
17.0,25.0,landscape_made_impressions_9673
24.0,35.0,still_life_brightening_strengthening_meta_9678
27.0,46.0,landscape_ordinary_vision_ordinary_visio_1490
9.0,51.0,seascape_wax_pure_body_seal_fashioning__1493
18.0,29.0,landscape_impression_upon_9685
14.0,38.0,portrait_thought_one_9696
53.0,68.0,landscape_th_stag_like_fate_falling_dyes_1506
15.0,56.0,still_life_painted_liveliest_colours_9701
48.0,43.0,portrait_anxious_haunt_anxious_haunt_1509
24.0,60.0,landscape_building_house_without_window__9706
7.0,44.0,portrait_inscription_upon_1518
70.0,15.0,landscape_invading_fits_noise_1519
19.0,24.0,landscape_impression_made_1520
42.0,33.0,landscape_mansion_find_beauteous_mansion_1526
55.0,59.0,landscape_whirlwind_9734
55.0,7.0,portrait_monarch_reason_throne_monarch__1543
